,Week,Year,defense,defense_conference,drive_number,drive_result,elapsed,end_period,end_time,end_yardline,end_yards_to_goal,game_id,id,offense,offense_conference,plays,scoring,start_period,start_time,start_yardline,start_yards_to_goal,yards
9,15.0,2015.0,Navy,American Athletic,10,TD,"{'seconds': 40, 'minutes': 0}",2,"{'minutes': 2, 'seconds': 8}",0,0,400760500,40076050010,Army,FBS Independents,2,True,2,"{'minutes': 2, 'seconds': 48}",54,54,54
11,15.0,2015.0,Navy,American Athletic,12,END OF HALF,"{'seconds': 18, 'minutes': 0}",2,"{'minutes': 0, 'seconds': 0}",97,97,400760500,40076050012,Army,FBS Independents,2,False,2,"{'seconds': 18, 'minutes': 0}",99,99,2
12,15.0,2015.0,Navy,American Athletic,13,PUNT,"{'minutes': 1, 'seconds': 51}",3,"{'minutes': 13, 'seconds': 9}",79,79,400760500,40076050013,Army,FBS Independents,4,False,3,"{'minutes': 15, 'seconds': 0}",75,75,-4
14,15.0,2015.0,Navy,American Athletic,15,PUNT,"{'minutes': 2, 'seconds': 5}",3,"{'minutes': 9, 'seconds': 47}",76,76,400760500,40076050015,Army,FBS Independents,3,False,3,"{'minutes': 11, 'seconds': 52}",74,74,-2
16,15.0,2015.0,Navy,American Athletic,17,PUNT,"{'minutes': 2, 'seconds': 10}",3,"{'minutes': 6, 'seconds': 1}",91,91,400760500,40076050017,Army,FBS Independents,3,False,3,"{'minutes': 8, 'seconds': 11}",80,80,-11
18,15.0,2015.0,Navy,American Athletic,19,PUNT,"{'minutes': 1, 'seconds': 36}",3,"{'minutes': 4, 'seconds': 15}",82,82,400760500,40076050019,Army,FBS Independents,3,False,3,"{'minutes': 5, 'seconds': 51}",79,79,-3
20,15.0,2015.0,Navy,American Athletic,21,MISSED FG,"{'minutes': 5, 'seconds': 2}",4,"{'minutes': 12, 'seconds': 19}",12,12,400760500,40076050021,Army,FBS Independents,9,False,3,"{'minutes': 2, 'seconds': 21}",79,79,67
22,15.0,2015.0,Navy,American Athletic,23,FUMBLE,"{'minutes': 1, 'seconds': 13}",4,"{'minutes': 8, 'seconds': 33}",33,33,400760500,40076050023,Army,FBS Independents,3,False,4,"{'minutes': 9, 'seconds': 46}",72,72,38
24,15.0,2015.0,Navy,American Athletic,25,INT,"{'seconds': 9, 'minutes': 0}",4,"{'minutes': 3, 'seconds': 27}",80,80,400760500,40076050025,Army,FBS Independents,1,False,4,"{'minutes': 3, 'seconds': 36}",80,80,0
26,15.0,2015.0,Navy,American Athletic,27,INT,"{'minutes': 1, 'seconds': 0}",4,"{'minutes': 2, 'seconds': 3}",39,39,400760500,40076050027,Army,FBS Independents,3,False,4,"{'minutes': 3, 'seconds': 3}",80,80,41
28,15.0,2015.0,Navy,American Athletic,29,END OF GAME,"{'seconds': 11, 'minutes': 0}",4,"{'minutes': 0, 'seconds': 0}",58,58,400760500,40076050029,Army,FBS Independents,2,False,4,"{'seconds': 11, 'minutes': 0}",58,58,0
1,1.0,2016.0,Temple,American Athletic,2,MISSED FG,"{'minutes': 6, 'seconds': 34}",1,"{'minutes': 3, 'seconds': 31}",17,17,400868910,4008689102,Army,FBS Independents,14,False,1,"{'minutes': 10, 'seconds': 5}",58,58,41
3,1.0,2016.0,Temple,American Athletic,4,TD,"{'minutes': 5, 'seconds': 40}",2,"{'minutes': 8, 'seconds': 52}",0,0,400868910,4008689104,Army,FBS Independents,12,True,2,"{'minutes': 14, 'seconds': 32}",75,75,75
5,1.0,2016.0,Temple,American Athletic,6,PUNT,"{'minutes': 1, 'seconds': 51}",2,"{'minutes': 3, 'seconds': 37}",84,84,400868910,4008689106,Army,FBS Independents,3,False,2,"{'minutes': 5, 'seconds': 28}",91,91,7
7,1.0,2016.0,Temple,American Athletic,8,PUNT,"{'minutes': 1, 'seconds': 41}",2,"{'minutes': 1, 'seconds': 10}",50,50,400868910,4008689108,Army,FBS Independents,5,False,2,"{'minutes': 2, 'seconds': 51}",70,70,20
9,1.0,2016.0,Temple,American Athletic,10,TD,"{'minutes': 6, 'seconds': 42}",3,"{'minutes': 8, 'seconds': 18}",0,0,400868910,40086891011,Army,FBS Independents,12,True,3,"{'minutes': 15, 'seconds': 0}",77,77,77
11,1.0,2016.0,Temple,American Athletic,12,TD,"{'minutes': 6, 'seconds': 45}",4,"{'minutes': 9, 'seconds': 30}",0,0,400868910,40086891013,Army,FBS Independents,14,True,3,"{'minutes': 1, 'seconds': 23}",81,81,81
13,1.0,2016.0,Temple,American Athletic,14,MISSED FG,"{'minutes': 4, 'seconds': 15}",4,"{'minutes': 3, 'seconds': 41}",30,30,400868910,40086891015,Army,FBS Independents,9,False,4,"{'minutes': 7, 'seconds': 56}",38,38,8
15,1.0,2016.0,Temple,American Athletic,16,TD,"{'seconds': 50, 'minutes': 0}",4,"{'minutes': 2, 'seconds': 21}",0,0,400868910,40086891017,Army,FBS Independents,2,True,4,"{'minutes': 3, 'seconds': 11}",36,36,36
17,1.0,2016.0,Temple,American Athletic,18,END OF GAME,"{'minutes': 1, 'seconds': 39}",4,"{'minutes': 0, 'seconds': 0}",49,49,400868910,40086891019,Army,FBS Independents,3,False,4,"{'minutes': 1, 'seconds': 39}",44,44,-5
1,2.0,2016.0,Rice,Conference USA,2,TD,"{'minutes': 2, 'seconds': 58}",1,"{'minutes': 10, 'seconds': 54}",100,0,400868911,4008689112,Army,FBS Independents,6,True,1,"{'minutes': 13, 'seconds': 52}",25,75,75
3,2.0,2016.0,Rice,Conference USA,4,TD,"{'minutes': 7, 'seconds': 2}",1,"{'seconds': 43, 'minutes': 0}",100,0,400868911,4008689114,Army,FBS Independents,13,True,1,"{'minutes': 7, 'seconds': 45}",16,84,84
5,2.0,2016.0,Rice,Conference USA,6,PUNT,"{'minutes': 4, 'seconds': 29}",2,"{'minutes': 9, 'seconds': 41}",54,46,400868911,4008689116,Army,FBS Independents,7,False,2,"{'minutes': 14, 'seconds': 10}",20,80,34
7,2.0,2016.0,Rice,Conference USA,8,TD,"{'minutes': 3, 'seconds': 30}",2,"{'minutes': 4, 'seconds': 16}",100,0,400868911,4008689118,Army,FBS Independents,7,True,2,"{'minutes': 7, 'seconds': 46}",65,35,35
9,2.0,2016.0,Rice,Conference USA,10,PUNT,"{'minutes': 1, 'seconds': 15}",2,"{'minutes': 1, 'seconds': 44}",39,61,400868911,40086891110,Army,FBS Independents,4,False,2,"{'minutes': 2, 'seconds': 59}",27,73,12
11,2.0,2016.0,Rice,Conference USA,12,END OF HALF,"{'minutes': 1, 'seconds': 12}",2,"{'minutes': 0, 'seconds': 0}",26,74,400868911,40086891112,Army,FBS Independents,2,False,2,"{'minutes': 1, 'seconds': 12}",18,82,8
12,2.0,2016.0,Rice,Conference USA,13,PUNT,"{'minutes': 1, 'seconds': 26}",3,"{'minutes': 13, 'seconds': 34}",31,69,400868911,40086891113,Army,FBS Independents,3,False,3,"{'minutes': 15, 'seconds': 0}",25,75,6
14,2.0,2016.0,Rice,Conference USA,15,PUNT,"{'minutes': 3, 'seconds': 2}",3,"{'minutes': 8, 'seconds': 10}",11,89,400868911,40086891115,Army,FBS Independents,6,False,3,"{'minutes': 11, 'seconds': 12}",1,99,10
16,2.0,2016.0,Rice,Conference USA,17,TD,"{'minutes': 3, 'seconds': 43}",3,"{'minutes': 4, 'seconds': 19}",100,0,400868911,40086891117,Army,FBS Independents,8,True,3,"{'minutes': 8, 'seconds': 2}",25,75,75
18,2.0,2016.0,Rice,Conference USA,19,PUNT,"{'minutes': 5, 'seconds': 12}",4,"{'minutes': 12, 'seconds': 40}",36,64,400868911,40086891119,Army,FBS Independents,9,False,3,"{'minutes': 2, 'seconds': 52}",22,78,14
20,2.0,2016.0,Rice,Conference USA,21,FG,"{'minutes': 1, 'seconds': 58}",4,"{'minutes': 8, 'seconds': 23}",94,6,400868911,40086891121,Army,FBS Independents,4,True,4,"{'minutes': 10, 'seconds': 21}",87,13,7
22,2.0,2016.0,Rice,Conference USA,23,PUNT,"{'minutes': 1, 'seconds': 57}",4,"{'minutes': 3, 'seconds': 36}",63,37,400868911,40086891123,Army,FBS Independents,3,False,4,"{'minutes': 5, 'seconds': 33}",59,41,4
24,2.0,2016.0,Rice,Conference USA,25,END OF GAME,"{'minutes': 2, 'seconds': 30}",4,"{'minutes': 0, 'seconds': 0}",50,50,400868911,40086891125,Army,FBS Independents,4,False,4,"{'minutes': 2, 'seconds': 30}",35,65,15
0,3.0,2016.0,UTEP,Conference USA,1,FG,"{'minutes': 7, 'seconds': 50}",1,"{'minutes': 7, 'seconds': 10}",10,10,400868912,4008689121,Army,FBS Independents,14,True,1,"{'minutes': 15, 'seconds': 0}",75,75,65
2,3.0,2016.0,UTEP,Conference USA,3,TD,"{'minutes': 5, 'seconds': 30}",2,"{'minutes': 13, 'seconds': 39}",0,0,400868912,4008689123,Army,FBS Independents,12,True,1,"{'minutes': 4, 'seconds': 15}",80,80,80
4,3.0,2016.0,UTEP,Conference USA,5,TD,"{'minutes': 3, 'seconds': 46}",2,"{'minutes': 7, 'seconds': 42}",0,0,400868912,4008689125,Army,FBS Independents,8,True,2,"{'minutes': 11, 'seconds': 28}",60,60,60
6,3.0,2016.0,UTEP,Conference USA,7,TD,"{'minutes': 5, 'seconds': 36}",2,"{'minutes': 0, 'seconds': 0}",0,0,400868912,4008689127,Army,FBS Independents,12,True,2,"{'minutes': 5, 'seconds': 36}",82,82,82
9,3.0,2016.0,UTEP,Conference USA,10,TD,"{'minutes': 1, 'seconds': 2}",3,"{'minutes': 12, 'seconds': 36}",0,0,400868912,40086891210,Army,FBS Independents,2,True,3,"{'minutes': 13, 'seconds': 38}",54,54,54
12,3.0,2016.0,UTEP,Conference USA,13,TD,"{'minutes': 5, 'seconds': 10}",3,"{'minutes': 6, 'seconds': 27}",0,0,400868912,40086891214,Army,FBS Independents,9,True,3,"{'minutes': 11, 'seconds': 37}",75,75,75
14,3.0,2016.0,UTEP,Conference USA,15,TD,"{'minutes': 2, 'seconds': 59}",3,"{'seconds': 37, 'minutes': 0}",0,0,400868912,40086891216,Army,FBS Independents,7,True,3,"{'minutes': 3, 'seconds': 36}",18,18,75
16,3.0,2016.0,UTEP,Conference USA,17,TD,"{'minutes': 4, 'seconds': 5}",4,"{'minutes': 10, 'seconds': 42}",0,0,400868912,40086891218,Army,FBS Independents,7,True,4,"{'minutes': 14, 'seconds': 47}",71,71,71
18,3.0,2016.0,UTEP,Conference USA,19,TD,"{'minutes': 3, 'seconds': 34}",4,"{'minutes': 5, 'seconds': 32}",0,0,400868912,40086891220,Army,FBS Independents,6,True,4,"{'minutes': 9, 'seconds': 6}",32,32,32
20,3.0,2016.0,UTEP,Conference USA,21,END OF GAME,"{'minutes': 2, 'seconds': 33}",4,"{'minutes': 0, 'seconds': 0}",52,52,400868912,40086891222,Army,FBS Independents,4,False,4,"{'minutes': 2, 'seconds': 33}",70,70,18
1,4.0,2016.0,Buffalo,Mid-American,2,TD,"{'minutes': 4, 'seconds': 22}",1,"{'minutes': 9, 'seconds': 27}",0,0,400868913,4008689132,Army,FBS Independents,9,True,1,"{'minutes': 13, 'seconds': 49}",71,71,71
3,4.0,2016.0,Buffalo,Mid-American,4,DOWNS,"{'minutes': 2, 'seconds': 13}",1,"{'minutes': 5, 'seconds': 13}",37,37,400868913,4008689134,Army,FBS Independents,4,False,1,"{'minutes': 7, 'seconds': 26}",43,43,6
5,4.0,2016.0,Buffalo,Mid-American,6,FG,"{'minutes': 7, 'seconds': 8}",2,"{'minutes': 11, 'seconds': 21}",4,4,400868913,4008689136,Army,FBS Independents,14,True,1,"{'minutes': 3, 'seconds': 35}",84,84,80
7,4.0,2016.0,Buffalo,Mid-American,8,INT,"{'minutes': 4, 'seconds': 28}",2,"{'minutes': 1, 'seconds': 5}",36,36,400868913,4008689138,Army,FBS Independents,10,False,2,"{'minutes': 5, 'seconds': 33}",86,86,50
9,4.0,2016.0,Buffalo,Mid-American,10,FUMBLE,"{'minutes': 1, 'seconds': 51}",3,"{'minutes': 13, 'seconds': 0}",77,77,400868913,40086891310,Army,FBS Independents,4,False,3,"{'minutes': 14, 'seconds': 51}",92,92,15
11,4.0,2016.0,Buffalo,Mid-American,12,FG,"{'minutes': 2, 'seconds': 50}",3,"{'minutes': 7, 'seconds': 48}",21,21,400868913,40086891312,Army,FBS Independents,7,True,3,"{'minutes': 10, 'seconds': 38}",76,76,55
13,4.0,2016.0,Buffalo,Mid-American,14,TD,"{'minutes': 5, 'seconds': 32}",3,"{'minutes': 1, 'seconds': 18}",0,0,400868913,40086891314,Army,FBS Independents,11,True,3,"{'minutes': 6, 'seconds': 50}",62,62,62
15,4.0,2016.0,Buffalo,Mid-American,16,DOWNS,"{'minutes': 3, 'seconds': 25}",4,"{'minutes': 11, 'seconds': 30}",34,34,400868913,40086891316,Army,FBS Independents,6,False,4,"{'minutes': 14, 'seconds': 55}",55,55,21
17,4.0,2016.0,Buffalo,Mid-American,18,PUNT,"{'minutes': 2, 'seconds': 3}",4,"{'minutes': 6, 'seconds': 13}",71,71,400868913,40086891318,Army,FBS Independents,3,False,4,"{'minutes': 8, 'seconds': 16}",80,80,9
19,4.0,2016.0,Buffalo,Mid-American,20,MISSED FG,"{'minutes': 2, 'seconds': 16}",4,"{'seconds': 3, 'minutes': 0}",17,17,400868913,40086891320,Army,FBS Independents,9,False,4,"{'minutes': 2, 'seconds': 19}",48,48,31
21,4.0,2016.0,Buffalo,Mid-American,22,MISSED FG,"{'minutes': 0, 'seconds': 0}",5,"{'minutes': 0, 'seconds': 0}",26,26,400868913,40086891322,Army,FBS Independents,4,False,5,"{'minutes': 0, 'seconds': 0}",25,25,-1
1,7.0,2016.0,Lafayette,,2,TD,"{'minutes': 2, 'seconds': 0}",1,"{'minutes': 10, 'seconds': 4}",100,0,400868915,4008689152,Army,FBS Independents,4,True,1,"{'minutes': 12, 'seconds': 4}",12,88,88
3,7.0,2016.0,Lafayette,,4,TD,"{'minutes': 4, 'seconds': 30}",1,"{'minutes': 2, 'seconds': 19}",100,0,400868915,4008689154,Army,FBS Independents,8,True,1,"{'minutes': 6, 'seconds': 49}",50,50,50
5,7.0,2016.0,Lafayette,,6,TD,"{'minutes': 2, 'seconds': 53}",2,"{'minutes': 12, 'seconds': 6}",100,0,400868915,4008689156,Army,FBS Independents,7,True,1,"{'seconds': 11, 'minutes': 0}",36,64,64
7,7.0,2016.0,Lafayette,,8,TD,"{'minutes': 2, 'seconds': 12}",2,"{'minutes': 8, 'seconds': 47}",100,0,400868915,4008689158,Army,FBS Independents,5,True,2,"{'minutes': 10, 'seconds': 59}",21,79,79
9,7.0,2016.0,Lafayette,,10,TD,"{'seconds': 10, 'minutes': 0}",2,"{'minutes': 5, 'seconds': 39}",100,0,400868915,40086891510,Army,FBS Independents,1,True,2,"{'minutes': 5, 'seconds': 49}",41,59,59
11,7.0,2016.0,Lafayette,,12,FUMBLE,"{'minutes': 2, 'seconds': 3}",2,"{'seconds': 41, 'minutes': 0}",20,80,400868915,40086891512,Army,FBS Independents,5,False,2,"{'minutes': 2, 'seconds': 44}",34,66,-14
13,7.0,2016.0,Lafayette,,14,END OF HALF,"{'seconds': 17, 'minutes': 0}",2,"{'minutes': 0, 'seconds': 0}",29,71,400868915,40086891514,Army,FBS Independents,1,False,2,"{'seconds': 17, 'minutes': 0}",20,80,9
14,7.0,2016.0,Lafayette,,15,TD,"{'minutes': 5, 'seconds': 55}",3,"{'minutes': 9, 'seconds': 5}",100,0,400868915,40086891515,Army,FBS Independents,12,True,3,"{'minutes': 15, 'seconds': 0}",25,75,75
16,7.0,2016.0,Lafayette,,17,TD,"{'minutes': 4, 'seconds': 17}",3,"{'minutes': 3, 'seconds': 48}",100,0,400868915,40086891517,Army,FBS Independents,9,True,3,"{'minutes': 8, 'seconds': 5}",22,78,78
18,7.0,2016.0,Lafayette,,19,TD,"{'minutes': 6, 'seconds': 22}",4,"{'minutes': 7, 'seconds': 40}",100,0,400868915,40086891519,Army,FBS Independents,10,True,4,"{'minutes': 14, 'seconds': 2}",25,75,75
20,7.0,2016.0,Lafayette,,21,TD,"{'minutes': 1, 'seconds': 57}",4,"{'minutes': 2, 'seconds': 48}",100,0,400868915,40086891521,Army,FBS Independents,4,True,4,"{'minutes': 4, 'seconds': 45}",46,54,54
22,7.0,2016.0,Lafayette,,23,END OF GAME,"{'seconds': 53, 'minutes': 0}",4,"{'minutes': 0, 'seconds': 0}",69,31,400868915,40086891523,Army,FBS Independents,1,False,4,"{'seconds': 53, 'minutes': 0}",64,36,5
0,8.0,2016.0,North Texas,Conference USA,1,FUMBLE,"{'minutes': 1, 'seconds': 21}",1,"{'minutes': 13, 'seconds': 39}",45,55,400868916,4008689161,Army,FBS Independents,3,False,1,"{'minutes': 15, 'seconds': 0}",25,75,20
2,8.0,2016.0,North Texas,Conference USA,3,TD,"{'minutes': 5, 'seconds': 21}",1,"{'minutes': 7, 'seconds': 37}",100,0,400868916,4008689163,Army,FBS Independents,11,True,1,"{'minutes': 12, 'seconds': 58}",42,58,58
4,8.0,2016.0,North Texas,Conference USA,5,INT TD,"{'seconds': 41, 'minutes': 0}",1,"{'minutes': 4, 'seconds': 57}",30,70,400868916,4008689165,Army,FBS Independents,2,True,1,"{'minutes': 5, 'seconds': 38}",25,75,5
5,8.0,2016.0,North Texas,Conference USA,6,FG,"{'minutes': 6, 'seconds': 15}",2,"{'minutes': 13, 'seconds': 21}",78,22,400868916,4008689167,Army,FBS Independents,14,True,1,"{'minutes': 4, 'seconds': 43}",8,92,70
7,8.0,2016.0,North Texas,Conference USA,8,DOWNS,"{'minutes': 3, 'seconds': 41}",2,"{'minutes': 8, 'seconds': 2}",32,68,400868916,4008689169,Army,FBS Independents,8,False,2,"{'minutes': 11, 'seconds': 43}",28,72,4
9,8.0,2016.0,North Texas,Conference USA,10,PUNT,"{'minutes': 3, 'seconds': 43}",2,"{'minutes': 3, 'seconds': 27}",54,46,400868916,40086891611,Army,FBS Independents,8,False,2,"{'minutes': 7, 'seconds': 10}",20,80,34
11,8.0,2016.0,North Texas,Conference USA,12,PUNT,"{'minutes': 1, 'seconds': 10}",2,"{'minutes': 1, 'seconds': 20}",42,58,400868916,40086891613,Army,FBS Independents,3,False,2,"{'minutes': 2, 'seconds': 30}",53,47,-11
14,8.0,2016.0,North Texas,Conference USA,15,FUMBLE,"{'minutes': 2, 'seconds': 29}",3,"{'minutes': 10, 'seconds': 59}",50,50,400868916,40086891616,Army,FBS Independents,6,False,3,"{'minutes': 13, 'seconds': 28}",25,75,25
16,8.0,2016.0,North Texas,Conference USA,17,TD,"{'minutes': 6, 'seconds': 25}",3,"{'minutes': 1, 'seconds': 8}",100,0,400868916,40086891618,Army,FBS Independents,13,True,3,"{'minutes': 7, 'seconds': 33}",30,70,70
18,8.0,2016.0,North Texas,Conference USA,19,FUMBLE,"{'minutes': 3, 'seconds': 20}",4,"{'minutes': 9, 'seconds': 34}",88,12,400868916,40086891620,Army,FBS Independents,6,False,4,"{'minutes': 12, 'seconds': 54}",20,80,68
20,8.0,2016.0,North Texas,Conference USA,21,INT,"{'seconds': 56, 'minutes': 0}",4,"{'minutes': 5, 'seconds': 2}",61,39,400868916,40086891622,Army,FBS Independents,5,False,4,"{'minutes': 5, 'seconds': 58}",25,75,36
22,8.0,2016.0,North Texas,Conference USA,23,INT,"{'minutes': 1, 'seconds': 20}",4,"{'minutes': 3, 'seconds': 9}",59,41,400868916,40086891624,Army,FBS Independents,5,False,4,"{'minutes': 4, 'seconds': 29}",46,54,13
24,8.0,2016.0,North Texas,Conference USA,25,INT,"{'seconds': 37, 'minutes': 0}",4,"{'seconds': 6, 'minutes': 0}",42,58,400868916,40086891626,Army,FBS Independents,5,False,4,"{'seconds': 43, 'minutes': 0}",31,69,11
1,9.0,2016.0,Wake Forest,ACC,2,MISSED FG,"{'minutes': 3, 'seconds': 38}",1,"{'minutes': 9, 'seconds': 16}",12,12,400868917,4008689172,Army,FBS Independents,7,False,1,"{'minutes': 12, 'seconds': 54}",34,34,22
3,9.0,2016.0,Wake Forest,ACC,4,TD,"{'seconds': 8, 'minutes': 0}",1,"{'minutes': 7, 'seconds': 54}",0,0,400868917,4008689174,Army,FBS Independents,1,True,1,"{'minutes': 8, 'seconds': 2}",43,43,43
5,9.0,2016.0,Wake Forest,ACC,6,PUNT,"{'minutes': 3, 'seconds': 27}",1,"{'minutes': 3, 'seconds': 45}",62,62,400868917,4008689176,Army,FBS Independents,6,False,1,"{'minutes': 7, 'seconds': 12}",78,78,16
7,9.0,2016.0,Wake Forest,ACC,8,PUNT,"{'minutes': 1, 'seconds': 27}",2,"{'minutes': 14, 'seconds': 20}",76,76,400868917,4008689178,Army,FBS Independents,3,False,1,"{'seconds': 47, 'minutes': 0}",80,80,4
9,9.0,2016.0,Wake Forest,ACC,10,DOWNS,"{'minutes': 2, 'seconds': 1}",2,"{'minutes': 10, 'seconds': 49}",31,31,400868917,40086891710,Army,FBS Independents,4,False,2,"{'minutes': 12, 'seconds': 50}",33,33,2
11,9.0,2016.0,Wake Forest,ACC,12,DOWNS,"{'minutes': 3, 'seconds': 55}",2,"{'minutes': 3, 'seconds': 48}",41,41,400868917,40086891712,Army,FBS Independents,7,False,2,"{'minutes': 7, 'seconds': 43}",65,65,24
13,9.0,2016.0,Wake Forest,ACC,14,END OF HALF,"{'minutes': 1, 'seconds': 0}",2,"{'minutes': 0, 'seconds': 0}",84,84,400868917,40086891714,Army,FBS Independents,2,False,2,"{'minutes': 1, 'seconds': 0}",89,89,5
14,9.0,2016.0,Wake Forest,ACC,15,FUMBLE,"{'minutes': 1, 'seconds': 7}",3,"{'minutes': 13, 'seconds': 53}",65,65,400868917,40086891715,Army,FBS Independents,3,False,3,"{'minutes': 15, 'seconds': 0}",75,75,10
16,9.0,2016.0,Wake Forest,ACC,17,PUNT,"{'minutes': 3, 'seconds': 40}",3,"{'minutes': 8, 'seconds': 22}",44,44,400868917,40086891717,Army,FBS Independents,7,False,3,"{'minutes': 12, 'seconds': 2}",75,75,31
18,9.0,2016.0,Wake Forest,ACC,19,INT,"{'minutes': 3, 'seconds': 38}",3,"{'minutes': 1, 'seconds': 58}",18,18,400868917,40086891719,Army,FBS Independents,9,False,3,"{'minutes': 5, 'seconds': 36}",72,72,54
20,9.0,2016.0,Wake Forest,ACC,21,TD,"{'minutes': 4, 'seconds': 0}",4,"{'minutes': 11, 'seconds': 45}",0,0,400868917,40086891721,Army,FBS Independents,9,True,3,"{'seconds': 45, 'minutes': 0}",88,88,88
22,9.0,2016.0,Wake Forest,ACC,23,TD,"{'minutes': 6, 'seconds': 31}",4,"{'minutes': 2, 'seconds': 54}",0,0,400868917,40086891723,Army,FBS Independents,12,True,4,"{'minutes': 9, 'seconds': 25}",60,60,60
24,9.0,2016.0,Wake Forest,ACC,25,END OF GAME,"{'minutes': 1, 'seconds': 25}",4,"{'minutes': 0, 'seconds': 0}",39,39,400868917,40086891725,Army,FBS Independents,4,False,4,"{'minutes': 1, 'seconds': 25}",48,48,9
0,10.0,2016.0,Air Force,Mountain West,1,PUNT,"{'minutes': 4, 'seconds': 51}",1,"{'minutes': 10, 'seconds': 9}",58,42,400868918,4008689181,Army,FBS Independents,7,False,1,"{'minutes': 15, 'seconds': 0}",26,74,32
2,10.0,2016.0,Air Force,Mountain West,3,PUNT,"{'minutes': 2, 'seconds': 47}",2,"{'minutes': 13, 'seconds': 18}",42,58,400868918,4008689183,Army,FBS Independents,6,False,1,"{'minutes': 1, 'seconds': 5}",29,71,13
4,10.0,2016.0,Air Force,Mountain West,5,INT,"{'minutes': 1, 'seconds': 18}",2,"{'minutes': 12, 'seconds': 0}",83,17,400868918,4008689185,Army,FBS Independents,3,False,2,"{'minutes': 13, 'seconds': 18}",83,17,0
6,10.0,2016.0,Air Force,Mountain West,7,PUNT,"{'minutes': 1, 'seconds': 56}",2,"{'minutes': 5, 'seconds': 33}",17,83,400868918,4008689187,Army,FBS Independents,3,False,2,"{'minutes': 7, 'seconds': 29}",8,92,9
8,10.0,2016.0,Air Force,Mountain West,9,TD,"{'minutes': 3, 'seconds': 15}",2,"{'minutes': 1, 'seconds': 19}",100,0,400868918,4008689189,Army,FBS Independents,6,True,2,"{'minutes': 4, 'seconds': 34}",35,65,65
11,10.0,2016.0,Air Force,Mountain West,12,TD,"{'minutes': 5, 'seconds': 24}",3,"{'minutes': 5, 'seconds': 55}",100,0,400868918,40086891812,Army,FBS Independents,10,True,3,"{'minutes': 11, 'seconds': 19}",24,76,76
13,10.0,2016.0,Air Force,Mountain West,14,PUNT,"{'minutes': 1, 'seconds': 44}",3,"{'minutes': 1, 'seconds': 40}",20,80,400868918,40086891814,Army,FBS Independents,3,False,3,"{'minutes': 3, 'seconds': 24}",16,84,4
15,10.0,2016.0,Air Force,Mountain West,16,PUNT,"{'minutes': 2, 'seconds': 14}",4,"{'minutes': 11, 'seconds': 24}",25,75,400868918,40086891816,Army,FBS Independents,3,False,4,"{'minutes': 13, 'seconds': 38}",20,80,5
17,10.0,2016.0,Air Force,Mountain West,18,INT,"{'minutes': 2, 'seconds': 56}",4,"{'minutes': 5, 'seconds': 54}",90,10,400868918,40086891818,Army,FBS Independents,8,False,4,"{'minutes': 8, 'seconds': 50}",25,75,65
19,10.0,2016.0,Air Force,Mountain West,20,DOWNS,"{'minutes': 1, 'seconds': 50}",4,"{'minutes': 1, 'seconds': 14}",24,76,400868918,40086891820,Army,FBS Independents,7,False,4,"{'minutes': 3, 'seconds': 4}",6,94,18
1,11.0,2016.0,Notre Dame,FBS Independents,2,PUNT,"{'minutes': 2, 'seconds': 6}",1,"{'minutes': 12, 'seconds': 42}",79,79,400868919,4008689192,Army,FBS Independents,3,False,1,"{'minutes': 14, 'seconds': 48}",78,78,-1
3,11.0,2016.0,Notre Dame,FBS Independents,4,PUNT,"{'minutes': 2, 'seconds': 41}",1,"{'minutes': 7, 'seconds': 19}",83,83,400868919,4008689194,Army,FBS Independents,3,False,1,"{'minutes': 10, 'seconds': 0}",74,74,-9
5,11.0,2016.0,Notre Dame,FBS Independents,6,TD,"{'minutes': 4, 'seconds': 30}",2,"{'minutes': 14, 'seconds': 14}",0,0,400868919,4008689196,Army,FBS Independents,9,True,1,"{'minutes': 3, 'seconds': 44}",63,63,63
7,11.0,2016.0,Notre Dame,FBS Independents,8,PUNT,"{'minutes': 1, 'seconds': 33}",2,"{'minutes': 8, 'seconds': 1}",73,73,400868919,4008689198,Army,FBS Independents,3,False,2,"{'minutes': 9, 'seconds': 34}",75,75,2
9,11.0,2016.0,Notre Dame,FBS Independents,10,DOWNS,"{'minutes': 2, 'seconds': 3}",2,"{'minutes': 1, 'seconds': 36}",52,52,400868919,40086891910,Army,FBS Independents,6,False,2,"{'minutes': 3, 'seconds': 39}",74,74,22
11,11.0,2016.0,Notre Dame,FBS Independents,12,END OF HALF,"{'seconds': 37, 'minutes': 0}",2,"{'minutes': 0, 'seconds': 0}",73,73,400868919,40086891912,Army,FBS Independents,2,False,2,"{'seconds': 37, 'minutes': 0}",88,88,15
12,11.0,2016.0,Notre Dame,FBS Independents,13,MISSED FG,"{'minutes': 4, 'seconds': 1}",3,"{'minutes': 10, 'seconds': 59}",16,16,400868919,40086891913,Army,FBS Independents,9,False,3,"{'minutes': 15, 'seconds': 0}",75,75,59
14,11.0,2016.0,Notre Dame,FBS Independents,15,PUNT,"{'minutes': 1, 'seconds': 3}",3,"{'minutes': 2, 'seconds': 34}",81,81,400868919,40086891915,Army,FBS Independents,3,False,3,"{'minutes': 3, 'seconds': 37}",86,86,5
