,completionAttempts,defensiveTDs,firstDowns,fourthDownEff,fumblesLost,fumblesRecovered,homeAway,id,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,kickingPoints,netPassingYards,passesDeflected,passesIntercepted,passingTDs,points,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,qbHurries,rushingAttempts,rushingTDs,rushingYards,sacks,tackles,tacklesForLoss,thirdDownEff,totalFumbles,totalPenaltiesYards,totalYards,turnovers,week,yardsPerPass,yardsPerRushAttempt,year
0,nan,,,nan,,,No_Game,,,,,,,,,,,,,,nan,,,,,,,,,,,nan,,nan,,,17.0,,,2015.0
0,nan,,,nan,,,No_Game,,,,,,,,,,,,,,nan,,,,,,,,,,,nan,,nan,,,18.0,,,2015.0
0,2-5,0,25,2-2,0,0,away,400868910,0,29,0,0,39,2,4,15,2,3,0,28,35:48,,,,0,67,4,329,4,31,6,7-14,1,5-34,344,0,1.0,3.0,4.9,2016.0
0,4-6,0,23,2-2,0,2,home,400868911,0,0,0,0,25,1,7,66,4,1,0,31,40:12,0,22,3,0,69,4,348,3,25,5,6-15,1,5-50,414,0,2.0,11.0,5.0,2016.0
0,7-8,0,33,1-1,0,1,away,400868912,0,11,0,,,,12,174,2,1,1,66,41:40,0,19,3,2,73,7,426,1,25,4,10-12,1,2-10,600,0,3.0,21.8,5.8,2016.0
0,4-10,0,21,4-6,1,0,away,400868913,0,0,1,0,83,4,8,48,2,1,0,20,36:24,0,18,1,0,67,2,396,0,40,8,6-17,2,8-83,444,2,4.0,4.8,5.9,2016.0
0,nan,,,nan,,,No_Game,,,,,,,,,,,,,,nan,,,,,,,,,,,nan,,nan,,,5.0,,,2016.0
0,nan,,,nan,,,No_Game,,,,,,,,,,,,,,nan,,,,,,,,,,,nan,,nan,,,6.0,,,2016.0
0,7-13,0,31,1-2,1,0,home,400868915,0,0,0,0,30,1,8,134,6,2,3,62,32:39,0,18,1,0,54,6,533,2,30,5,6-8,2,6-60,667,1,7.0,10.3,9.9,2016.0
0,7-21,0,24,5-7,3,0,home,400868916,0,12,4,0,10,1,4,101,0,1,0,18,37:26,0,6,3,0,67,2,302,2,32,5,5-15,7,9-79,403,7,8.0,4.8,4.5,2016.0
0,6-9,0,21,0-2,1,0,away,400868917,0,31,1,,,,3,145,4,3,1,21,35:57,0,64,3,2,64,2,238,0,34,4,7-14,3,2-20,383,2,9.0,16.1,3.7,2016.0
0,5-16,0,15,0-2,0,1,home,400868918,,,2,0,40,4,0,84,2,,1,12,28:47,,,,0,40,1,144,0,36,2,4-12,0,5-35,228,2,10.0,5.3,3.6,2016.0
0,2-8,0,10,1-3,0,0,away,400868919,0,14,1,0,130,6,0,13,3,1,0,6,25:38,,,,0,42,1,229,0,29,3,3-11,3,7-68,242,1,11.0,1.6,5.5,2016.0
0,3-8,0,28,0-0,2,0,home,400868920,,,0,0,13,2,8,57,3,,1,60,31:30,0,1,4,0,60,7,504,6,37,12,8-12,3,4-25,561,2,12.0,7.1,8.4,2016.0
0,nan,,,nan,,,No_Game,,,,,,,,,,,,,,nan,,,,,,,,,,,nan,,nan,,,13.0,,,2016.0
0,nan,,,nan,,,No_Game,,,,,,,,,,,,,,nan,,,,,,,,,,,nan,,nan,,,14.0,,,2016.0
0,2-4,0,23,2-2,3,1,home,400868921,0,-2,1,0,62,4,3,35,0,2,0,21,40:32,,,,0,70,3,316,2,24,3,8-13,3,0-0,351,4,15.0,8.8,4.5,2016.0
0,nan,,,nan,,,No_Game,,,,,,,,,,,,,,nan,,,,,,,,,,,nan,,nan,,,16.0,,,2016.0
0,nan,,,nan,,,No_Game,,,,,,,,,,,,,,nan,,,,,,,,,,,nan,,nan,,,17.0,,,2016.0
0,nan,,,nan,,,No_Game,,,,,,,,,,,,,,nan,,,,,,,,,,,nan,,nan,,,18.0,,,2016.0
0,0-2,0,22,0-0,1,0,home,400934570,0,27,0,0,46,2,10,0,4,1,0,64,25:29,,,,0,47,8,513,3,48,8,4-5,1,3-30,513,1,1.0,0.0,10.9,2017.0
0,2-8,0,19,3-4,0,2,home,400934562,,,0,0,98,4,3,17,3,,0,21,34:15,,,,0,66,3,322,2,26,3,7-16,1,5-44,339,0,2.0,2.1,4.9,2017.0
0,2-8,0,16,3-4,1,0,away,400934563,,,0,0,116,5,1,19,1,,0,7,36:57,,,,1,58,1,259,2,44,2,4-15,1,2-22,278,1,3.0,2.4,4.5,2017.0
0,0-5,0,22,2-4,0,0,away,400934561,,,2,0,47,3,5,0,6,,0,17,39:18,0,8,2,0,69,2,371,2,33,4,8-17,,5-35,371,2,4.0,0.0,5.4,2017.0
0,3-7,0,22,1-1,0,0,home,400934566,,,1,0,25,2,5,80,3,,1,35,31:33,0,9,2,0,50,4,353,2,33,4,5-9,,6-47,433,1,5.0,11.4,7.1,2017.0
0,1-3,1,21,4-4,0,5,away,400934564,1,48,1,,,,7,9,1,1,0,49,36:08,0,26,2,3,65,6,418,2,46,4,4-12,0,5-35,427,1,6.0,3.0,6.4,2017.0
0,0-5,0,21,1-3,0,0,home,400934567,0,7,0,0,42,3,4,0,2,1,0,28,37:02,,,,0,61,4,413,0,29,0,9-13,,4-32,413,0,7.0,0.0,6.8,2017.0
